canonical_env,env_name,is_alias,scope,module,file,line,style,tool,var,snippet
repeat_identiy,repeat_identiy,,code,repeatmask,biopytools/repeatmask/main.py,47,env-path,RepeatMasker,,"default='~/miniforge3/envs/repeat_identiy/bin/RepeatMasker',"
<var>,<var>,,code,repeatmask,biopytools/repeatmask/utils.py,128,conda-run-var,,conda_env,"full_command = f""conda run -n {conda_env} --no-capture-output {command}"""
resistify_v.1.3.0,resistify_v.1.3.0,,code,resistify,biopytools/resistify/config.py,28,env-path,resistify,,"default_factory=lambda: get_tool_path('resistify', '~/miniforge3/envs/resistify_v.1.3.0/bin/resistify', 'RESISTIFY_PATH')"
Population_genetics,Population_genetics,,code,rmvp,biopytools/rmvp/config.py,63,env-path,plink,,"'~/miniforge3/envs/Population_genetics/bin/plink',"
<var>,<var>,,code,rmvp,biopytools/rmvp/utils.py,167,conda-run-var,,r_env_name_or_path,"cmd = f""conda run -n {r_env_name_or_path} --no-capture-output R --slave -e \""suppressPackageStartupMessages(library(rMVP))\"""""
ENV,ENV,,code,rnaseq,biopytools/rnaseq/utils.py,132,conda-run-literal,,,把整条shell命令(支持管道)包进 conda run -n ENV bash -c '...'|Wrap a whole shell
<var>,<var>,,code,rnaseq,biopytools/rnaseq/utils.py,147,conda-run-var,,env,"wrapped = f""conda run -n {env} --no-capture-output bash -c {shlex.quote(cmd)}"""
RNA_Seq,RNA_Seq,,code,rnaseq2vcf,biopytools/rnaseq2vcf/config.py,31,env-path,hisat2,,"default_factory=lambda: get_tool_path('hisat2', '~/miniforge3/envs/RNA_Seq/bin/hisat2', 'HISAT2_PATH'))"
RNA_Seq,RNA_Seq,,code,rnaseq2vcf,biopytools/rnaseq2vcf/config.py,33,env-path,fastp,,"default_factory=lambda: get_tool_path('fastp', '~/miniforge3/envs/RNA_Seq/bin/fastp', 'FASTP_PATH'))"
GATK_v.4.6.2.0,GATK_v.4.6.2.0,,code,rnaseq2vcf,biopytools/rnaseq2vcf/config.py,35,env-path,samtools,,"default_factory=lambda: get_tool_path('samtools', '~/miniforge3/envs/GATK_v.4.6.2.0/bin/samtools', 'SAMTOOLS_PATH'))"
GATK_v.4.6.2.0,GATK_v.4.6.2.0,,code,rnaseq2vcf,biopytools/rnaseq2vcf/config.py,37,env-path,bcftools,,"default_factory=lambda: get_tool_path('bcftools', '~/miniforge3/envs/GATK_v.4.6.2.0/bin/bcftools', 'BCFTOOLS_PATH'))"
GATK_v.4.6.2.0,GATK_v.4.6.2.0,,code,rnaseq2vcf,biopytools/rnaseq2vcf/config.py,39,env-path,gatk,,"default_factory=lambda: get_tool_path('gatk', '~/miniforge3/envs/GATK_v.4.6.2.0/bin/gatk', 'GATK_PATH'))"
<var>,<var>,,code,rnaseq2vcf,biopytools/rnaseq2vcf/data_processing.py,124,conda-run-var,,env,"return f""conda run -n {env} --no-capture-output bash -c {shlex.quote(pipeline)}"""
rnaseq_val,rnaseq_val,,code,rnaseq_val,biopytools/rnaseq_val/config.py,53,env-field,,,"conda_env: str = ""rnaseq_val""              # conda 环境名称|Conda environment name"
<var>,<var>,,code,rnaseq_val,biopytools/rnaseq_val/utils.py,401,conda-run-var,,env_name,"return f""conda run -n {env_name} --no-capture-output {cmd}"""
samplot_v.1.3.0,samplot_v.1.3.0,,code,samplot,biopytools/samplot/config.py,35,env-path,samplot,,"samplot_path: str = ""~/miniforge3/envs/samplot_v.1.3.0/bin/samplot"","
samplot_v.1.3.0,samplot_v.1.3.0,,code,samplot,biopytools/samplot/config.py,156,env-path,samplot,,"samplot_path: str = ""~/miniforge3/envs/samplot_v.1.3.0/bin/samplot"","
samplot_v.1.3.0,samplot_v.1.3.0,,code,samplot,biopytools/samplot/main.py,201,env-path,samplot,,"default='~/miniforge3/envs/samplot_v.1.3.0/bin/samplot',"
samplot_v.1.3.0,samplot_v.1.3.0,,code,samplot,biopytools/samplot/main.py,320,env-path,samplot,,"default='~/miniforge3/envs/samplot_v.1.3.0/bin/samplot',"
selective_sweep,selective_sweep,,code,selective_sweep,biopytools/selective_sweep/config.py,56,env-path,bcftools,,bcftools_path: str = '~/miniforge3/envs/selective_sweep/bin/bcftools'
selective_sweep,selective_sweep,,code,selective_sweep,biopytools/selective_sweep/config.py,57,env-path,vcftools,,vcftools_path: str = '~/miniforge3/envs/selective_sweep/bin/vcftools'
selective_sweep,selective_sweep,,code,selective_sweep,biopytools/selective_sweep/config.py,58,env-path,RAiSD,,raisd_path: str = '~/miniforge3/envs/selective_sweep/bin/RAiSD'
selective_sweep,selective_sweep,,code,selective_sweep,biopytools/selective_sweep/config.py,60,env-path,xpclr,,xpclr_path: str = '~/miniforge3/envs/selective_sweep/bin/xpclr'
signalp6,signalp6,,code,signalp,biopytools/signalp/config.py,34,env-path,signalp6,,"'signalp6', '~/miniforge3/envs/signalp6/bin/signalp6', 'SIGNALP6_PATH'))"
signalp6,signalp6,,code,signalp,biopytools/signalp/main.py,114,env-path,signalp6,,"default='~/miniforge3/envs/signalp6/bin/signalp6',"
genomescope_v.2.0.1,genomescope_v.2.0.1,,code,smudgescope,biopytools/smudgescope/config.py,26,env-field,,,"genomescope_env: str = ""genomescope_v.2.0.1"""
cphasing,cphasing,,code,subgenome_assign,biopytools/subgenome_assign/config.py,37,env-path,minimap2,,"'minimap2', '~/miniforge3/envs/cphasing/bin/minimap2', 'MINIMAP2_PATH'"
cphasing,cphasing,,code,subgenome_assign,biopytools/subgenome_assign/main.py,313,env-path,minimap2,,"default='~/miniforge3/envs/cphasing/bin/minimap2',"
SubPhaser,SubPhaser,,code,subphase,biopytools/subphase/config.py,74,env-field,,,"conda_env: str = ""SubPhaser"""
telocomp,telocomp,,code,telocomp,biopytools/telocomp/config.py,40,env-path,,,"conda_env: str = ""~/miniforge3/envs/telocomp"""
Population_genetics,Population_genetics,,code,tests,biopytools/tests/test_admixture/test_utils.py,18,env-path,plink,,"cmd = build_conda_command('/miniforge3/envs/Population_genetics/bin/plink', ['--version'])"
Population_genetics,Population_genetics,,code,tests,biopytools/tests/test_admixture/test_utils.py,20,env-path,plink,,"'/miniforge3/envs/Population_genetics/bin/plink', '--version']"
Population_genetics,Population_genetics,,code,tests,biopytools/tests/test_admixture/test_utils.py,30,env-path,plink,,"with patch('shutil.which', return_value='/miniforge3/envs/Population_genetics/bin/plink'):"
telocomp,telocomp,,code,tests,biopytools/tests/test_aliner/test_utils.py,43,env-path,minimap2,,"cmd = build_conda_command('/miniforge3/envs/telocomp/bin/minimap2', ['-c', 'a.fa'])"
telocomp,telocomp,,code,tests,biopytools/tests/test_aliner/test_utils.py,45,env-path,minimap2,,"'/miniforge3/envs/telocomp/bin/minimap2', '-c', 'a.fa'])"
telocomp,telocomp,,code,tests,biopytools/tests/test_aliner/test_utils.py,55,env-path,minimap2,,env = get_conda_env('/miniforge3/envs/telocomp/bin/minimap2')
telocomp,telocomp,,code,tests,biopytools/tests/test_aliner/test_utils.py,76,env-path,samtools,,samtools_path = '/miniforge3/envs/telocomp/bin/samtools'
braker_v.3.0.8,braker_v.3.0.8,,code,tests,biopytools/tests/test_annorefine/test_evidence.py,58,env-path,miniprot,,config.miniprot_bin = '/home/u/miniforge3/envs/braker_v.3.0.8/bin/miniprot'
braker_v.3.0.8,braker_v.3.0.8,,code,tests,biopytools/tests/test_annorefine/test_utils.py,30,env-path,miniprot,,env = get_conda_env('/home/u/miniforge3/envs/braker_v.3.0.8/bin/miniprot')
EDTA_v.2.2.2,EDTA_v.2.2.2,,code,tests,biopytools/tests/test_assembly_qc/test_lai_seq_id_renaming.py,25,env-path,,,"conda_env_edta=""/fake/envs/EDTA_v.2.2.2"","
ltr_harvest,ltr_harvest,,code,tests,biopytools/tests/test_assembly_qc/test_lai_seq_id_renaming.py,26,env-path,,,"conda_env_ltr_harvest=""/fake/envs/ltr_harvest"","
ltr_retriever_v.3.0.1,ltr_retriever,yes,code,tests,biopytools/tests/test_assembly_qc/test_lai_seq_id_renaming.py,27,env-path,,,"conda_env_ltr_retriever=""/fake/envs/ltr_retriever"","
Blast_v.2.16.0,Blast_v.2.16.0,,code,tests,biopytools/tests/test_blast/test_utils.py,14,env-path,blastn,,"cmd = build_conda_command('/miniforge3/envs/Blast_v.2.16.0/bin/blastn', ['-h'])"
Blast_v.2.16.0,Blast_v.2.16.0,,code,tests,biopytools/tests/test_blast/test_utils.py,16,env-path,blastn,,"'/miniforge3/envs/Blast_v.2.16.0/bin/blastn', '-h'])"
Blast_v.2.16.0,Blast_v.2.16.0,,code,tests,biopytools/tests/test_blast/test_utils.py,26,env-path,blastn,,"with patch('shutil.which', return_value='/miniforge3/envs/Blast_v.2.16.0/bin/blastn'):"
singularity_v.3.8.7,singularity_v.3.8.7,,code,tests,biopytools/tests/test_deeploc/test_deeploc.py,87,env-path,singularity,,"full = expand_path(""~/miniforge3/envs/singularity_v.3.8.7/bin/singularity"")"
deeptmhmm_v.1.0,deeptmhmm_v.1.0,,code,tests,biopytools/tests/test_deeptmhmm/test_deeptmhmm.py,56,env-path,python,,"full = expand_path(""~/miniforge3/envs/deeptmhmm_v.1.0/bin/python"")"
eggnog-mapper_v.2.1.15,eggnog-mapper_v.2.1.15,,code,tests,biopytools/tests/test_eggnog_mapper/test_config.py,23,env-path,emapper.py,,"emapper_path=""~/miniforge3/envs/eggnog-mapper_v.2.1.15/bin/emapper.py"","
eggnog-mapper_v.2.1.15,eggnog-mapper_v.2.1.15,,code,tests,biopytools/tests/test_eggnog_mapper/test_utils.py,14,env-path,emapper.py,,"full = ""/x/miniforge3/envs/eggnog-mapper_v.2.1.15/bin/emapper.py"""
